timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command
2026-02-01 17:48:10.170465,18,33,0,1031221,334907,51436,37102,26620,10053,5496,167870,f
2026-02-01 17:48:11.189191,23,40,0,585482,311326,32831,36386,19134,7952,4140,159261,f
2026-02-01 17:48:12.156847,18,31,0,664821,261648,34776,30255,11338,15239,5218,166324,f
2026-02-01 17:48:13.175416,14,39,0,258759,226949,20338,22972,9738,14304,3589,142794,f
2026-02-01 17:48:14.160001,19,43,0,276237,230211,21223,17235,11455,13040,3000,103242,f
2026-02-01 17:48:15.138257,24,35,0,127797,30578,4616,7807,8891,4842,3602,90370,f
2026-02-01 17:48:16.135387,35,27,0,193683,134977,20488,17759,19239,7933,6725,137782,f
2026-02-01 17:48:17.132885,37,24,0,656586,190148,31329,25137,19399,11410,8153,184422,f
2026-02-01 17:48:18.142988,33,31,0,607816,184524,31108,23547,19332,9790,6337,147839,f
2026-02-01 17:48:19.110504,33,40,0,536173,96174,20694,17079,12618,10058,5275,158485,f
2026-02-01 17:48:44.961085,26,41,0,387672,110443,25674,40089,11839,27689,5040,120902,f
2026-02-01 17:48:45.937285,43,55,0,340780,156246,48323,51925,19876,31780,6329,151282,f
2026-02-01 17:48:46.929808,46,45,0,496876,167817,69045,44210,25689,20306,5081,148955,f
2026-02-01 17:48:47.918556,48,58,0,318934,99676,63319,29350,20974,12144,5396,147965,f
2026-02-01 17:48:48.909825,44,69,0,460172,89156,55875,27400,40404,10974,5947,142836,f
2026-02-01 17:48:49.904857,39,78,0,274163,61647,28981,16352,35518,12970,5243,153122,f
2026-02-01 17:48:50.908686,45,77,0,348814,72777,26069,16178,36819,12049,3851,117343,f
2026-02-01 17:48:51.903175,52,68,0,288117,83140,12898,6545,12937,10358,3700,123262,f
2026-02-01 17:48:52.882406,56,52,0,492889,187756,18249,22022,26579,11405,5492,105174,f
2026-02-01 17:48:53.892118,52,35,0,421344,175610,17905,22936,28956,14612,6401,145539,f
2026-02-01 17:49:20.704179,25,51,0,1104800,430783,23468,65289,43632,47719,5418,313410,f
2026-02-01 17:49:21.703090,43,81,0,115638,76318,18132,42085,32226,18886,4384,130242,f
2026-02-01 17:49:22.690208,52,90,0,183717,155610,51079,54697,59153,20225,4481,116490,f
2026-02-01 17:49:23.676815,53,91,0,137154,145677,49396,30523,45661,13885,6656,129543,f
2026-02-01 17:49:24.680395,48,83,0,148787,167454,52608,27802,48836,13684,6955,114745,f
2026-02-01 17:49:25.680142,39,69,0,135449,115292,17709,17604,25683,13455,7544,120981,f
2026-02-01 17:49:26.660323,34,58,0,130957,104518,15807,21911,29735,9981,5491,112284,f
2026-02-01 17:49:27.656665,34,53,0,443505,134445,25519,32441,33742,9904,5356,120144,f
2026-02-01 17:49:28.677946,32,52,0,382758,108567,23144,27354,31946,8605,3912,116527,f
2026-02-01 17:49:29.652986,35,54,0,767061,116847,31297,28776,22907,13752,4947,105942,f
2026-02-01 17:49:57.456122,21,35,0,453646,80436,33645,19644,25175,8190,4145,146231,f
2026-02-01 17:49:58.440929,40,55,0,812789,88904,42500,23513,33201,9982,7725,179212,f
2026-02-01 17:49:59.432279,57,57,0,819111,86783,47711,28513,36946,11015,9502,177816,f
2026-02-01 17:50:00.429625,55,76,0,517701,92324,41113,15997,43116,9360,9639,172118,f
2026-02-01 17:50:01.424796,49,83,0,94268,94333,36678,14120,38229,10680,7670,177347,f
2026-02-01 17:50:02.421180,45,85,0,121913,107474,31019,14656,38871,9397,4840,159258,f
2026-02-01 17:50:03.408668,42,80,0,77366,42845,12942,11194,11041,5818,3280,117344,f
2026-02-01 17:50:04.404839,38,74,0,99654,43467,14214,13567,14705,5931,3404,119135,f
2026-02-01 17:50:05.400895,35,71,0,114495,35681,17515,8719,12300,7380,4999,129837,f
2026-02-01 17:50:06.448524,35,71,0,110217,28652,36867,13488,23905,15201,8044,165597,f
2026-02-01 17:50:26.252848,17,32,0,1248390,209041,31957,42177,35689,15708,5816,358627,f
2026-02-01 17:50:27.247781,37,46,0,559764,94407,10492,13585,11213,8042,4075,80062,f
2026-02-01 17:50:28.250292,45,43,0,746092,102682,20769,11935,13257,9815,5684,119238,f
